bikeid,type,lon,lat
0100010636,classical,116.330594,40.058606
0100025212,classical,116.300051,40.072794
0100025211,classical,116.500297,39.931685
0100025210,classical,116.298643,40.041476
0100025216,classical,116.260826,40.043439
0100025215,classical,116.346232,39.963147
0100025214,classical,116.403288,39.933594
0100025219,classical,116.408712,39.931284
0100030078,classical,116.453664,39.869954
0100014644,classical,116.272846,39.912281
0100014397,classical,116.325189,40.006115
0100014394,classical,116.361385,40.071373
0100014395,classical,116.578759,39.924557
0100014392,classical,116.371472,39.908945
0100014393,classical,116.502314,39.87449
0100014391,classical,116.322841,39.881883
0100020579,classical,116.492915,39.975493
0100014648,classical,116.275462,39.931132
0100014649,classical,116.38674,40.009679
0100020578,classical,116.457533,39.802739
0100010554,classical,116.332823,39.926921
0100010555,classical,116.578785,39.924515
0100018769,classical,116.662854,39.880939
0100010557,classical,116.356992,39.963614
0100010553,classical,116.404421,39.809745
0100018763,classical,116.358978,39.883491
0100018762,classical,116.494221,40.058785
0100016021,classical,116.481213,39.90787
0100018767,classical,116.415956,39.897466
0100018766,classical,116.322499,39.83134
0100012776,classical,116.294078,39.87582
0100012031,classical,116.409096,39.914779
0100012775,classical,116.518858,39.898463
0100012770,classical,116.562829,39.923797
0100020574,classical,116.420041,40.060238
0100017513,classical,116.444474,39.972145
0100014028,classical,116.429718,40.072286
0100022788,classical,116.424585,40.015417
0100019012,classical,116.294261,40.101089
0100019013,classical,116.409143,39.755995
0100014022,classical,116.351334,39.869864
0100014023,classical,116.477679,39.912125
0100014024,classical,116.418085,40.094197
0100019015,classical,116.368734,39.916338
0100020572,classical,116.347604,39.960593
0100012036,classical,116.391987,39.817215
0100018498,classical,116.440271,39.888144
0100018495,classical,116.321104,39.958385
0100018494,classical,116.323426,39.898498
0100018490,classical,116.358121,39.914339
0100018492,classical,116.465268,39.869807
0100016542,classical,116.531005,39.920031
0100022076,classical,116.513246,39.905963
0100022077,classical,116.48622,39.960824
0100022074,classical,116.309866,39.901342
0100022075,classical,116.243775,39.833635
0100022072,classical,116.505851,39.87212
